spi_rank,continent,country,spi_score,basic_human_needs,wellbeing,opportunity,basic_nutri_med_care,water_sanitation,shelter,personal_safety,access_basic_knowledge,access_info_comm,health_wellness,env_quality,personal_rights,personal_freedom_choice,inclusiveness,access_adv_edu
74,Asia,Sri Lanka,69.22,78.82,75,53.86,86.48,86.75,77.1,64.94,88.17,69.9,72.74,69.18,68.98,63.68,34.73,48.03
75,Africa,Cabo Verde,69.01,78.21,63.81,65.01,85.33,82.56,83.58,61.37,67.06,71.08,62.37,54.71,90.06,70.3,59.45,40.22
76,South America,Paraguay,68.96,81.34,68.69,56.85,86.75,92.34,82.64,63.61,68.54,82.13,55.77,68.33,80.96,62.93,36.44,47.06
77,Asia,Vietnam,68.18,81.92,69.36,53.26,86.65,87.33,87.8,65.91,84.46,72.57,62.83,57.57,43.93,66.1,56.77,46.23
78,Asia,Bhutan,68.05,80.22,66.33,57.59,77.81,90.26,88.49,64.31,64.85,72.69,69.74,58.04,73.9,66.68,57.48,32.3
79,Asia,Maldives,68.02,82.21,69.39,52.47,85.62,82.94,87.59,72.69,73.17,71.9,62.81,69.68,64.42,57.97,49.88,37.62
80,Asia,Oman,67.7,83.49,68.4,51.21,91.5,91.83,90.58,60.05,80.92,82.45,69.6,40.63,48.79,64.45,39.91,51.68
81,Asia,Philippines,67.46,77.29,67.52,57.58,81.49,87.4,78.19,62.09,81.19,76.42,51.55,60.92,70.94,62.8,42.51,54.06
82,Asia,Jordan,67.32,83.84,65.07,53.05,89.72,89.91,88.08,67.65,80.38,58.18,70.58,51.16,62.83,62.63,29.88,56.89
83,Asia,Kyrgyzstan,67.23,81.71,69.01,50.97,88.56,87.36,85.48,65.45,92.81,73.16,55.2,54.88,58.99,60.66,32.98,51.24
84,Asia,Mongolia,67.21,73.02,63.92,64.71,84.29,70.59,73.17,64.02,91.22,75.5,41.44,47.51,87.2,65.13,51.62,54.88
85,South America,Bolivia,67.15,77.5,64.84,59.11,79.77,87.38,83.92,58.95,74.77,74.39,48.82,61.37,74.03,61.19,54.87,46.33
86,Oceania,Fiji,67.02,79.64,63.88,57.53,84.31,90.35,79.34,64.56,89.16,70.98,34.6,60.76,63.6,67.85,48.43,50.24
87,Asia,Indonesia,66.67,78.89,65.23,55.89,78.55,78.32,88.28,70.39,72.69,78.07,53.16,56.98,69.43,64.8,34.77,54.58
88,Asia/Europe,Turkey,66.59,82.66,67.68,49.43,95.67,84.15,84.66,66.15,73.65,80.43,68.97,47.65,38.18,60.61,30.63,68.32
89,Asia,Lebanon,66.48,80.98,62.52,55.94,93.48,80.25,86.33,63.85,80.2,63.3,58.15,48.41,70.96,58.67,31.32,62.79
90,Asia,Qatar,66.47,86.51,66.59,46.29,96.59,92.02,90.62,66.82,83.27,78.32,75.93,28.86,34.23,72.81,28.41,49.72
91,Asia,Uzbekistan,66.12,86.29,63.78,48.3,90.86,91.95,91.61,70.76,92.51,76.22,49.75,36.64,51.19,63.19,33.57,45.25
92,Asia,Bahrain,66.09,86.57,69.99,41.72,95.95,95.86,93.15,61.33,80.34,82.47,73.69,43.46,34.91,64.74,14.11,53.1
93,Africa,Botswana,65.89,65.52,66.14,66.01,66.71,74.44,72.9,48,83.46,69.49,56.27,55.34,84.55,69.02,64.8,45.67
94,Asia,China,65.74,83.74,66.24,47.25,93.96,87.33,87.13,66.55,81.14,78.92,65.25,39.63,29.7,65.65,32.67,60.99
95,Africa,Algeria,65.59,80.37,62.4,54.01,89.93,84.72,86.35,60.5,78.07,62.32,62.37,46.85,53.43,65.28,47.07,50.24
